HAddress,HAttractions,HGFW,HImages,HLanguage,HMail,HName,HPMax,HPMin,HPRange,HQuestions,HRImages,HRNumber,HRank,HRankreview,HRating,HRestaurants,HReview,HRoom,HStyles,HTel,HVideos,URL
"346 Ben Van Don, Phuong 1, Quan 4, Ho Chi Minh City Vietnam",2,39,NA,,,Luxury Stay Rooptop Pool City View In The Heart HCM,NA,Vietnam,"Vietnam,Ho Chi Minh City","Which popular attractions are close to Luxury Stay Rooptop Pool City View In The Heart HCM?, ,What are some restaurants close to Luxury Stay Rooptop Pool City View In The Heart HCM?, ",NA,NA,NA,NA,NA,19,NA,NA,NA,,NA,https://www.tripadvisor.com/Hotel_Review-g293925-d16316294-Reviews-Luxury_Stay_Rooptop_Pool_City_View_In_The_Heart_HCM-Ho_Chi_Minh_City.html
NA,NA,NA,NA,,,Kiki's House Saigon Hostel,NA,Vietnam,"Vietnam,Ho Chi Minh City",NA,NA,NA,NA,NA,20,NA,NA,NA,NA,,NA,https://www.tripadvisor.com/Hotel_Review-g293925-d23157261-Reviews-Kiki_s_House_Saigon_Hostel-Ho_Chi_Minh_City.html
NA,NA,NA,NA,,,Spacious Saigon,$61,$51,"$51, - ,$61",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,,NA,https://www.tripadvisor.com/Hotel_Review-g293925-d23031469-Reviews-Spacious_Saigon-Ho_Chi_Minh_City.html
NA,NA,NA,NA,,,180-Degree View City Pad,NA,Vietnam,"Vietnam,Ho Chi Minh City",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,,NA,https://www.tripadvisor.com/Hotel_Review-g293925-d20225439-Reviews-180_Degree_View_City_Pad-Ho_Chi_Minh_City.html
NA,NA,NA,NA,,,Vinhomes Golden River P'house,NA,Vietnam,"Vietnam,Ho Chi Minh City",NA,NA,NA,NA,NA,30,NA,NA,NA,NA,,NA,https://www.tripadvisor.com/Hotel_Review-g293925-d23157260-Reviews-Vinhomes_Golden_River_P_house-Ho_Chi_Minh_City.html
NA,NA,NA,NA,,,Than Nhan Trung Aparthotel,NA,Vietnam,"Vietnam,Ho Chi Minh City",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,,NA,https://www.tripadvisor.com/Hotel_Review-g293925-d21179834-Reviews-Than_Nhan_Trung_Aparthotel-Ho_Chi_Minh_City.html
NA,NA,NA,NA,,,Mhome Hotel,NA,Vietnam,"Vietnam,Ho Chi Minh City",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,,NA,https://www.tripadvisor.com/Hotel_Review-g293925-d21179936-Reviews-Mhome_Hotel-Ho_Chi_Minh_City.html
"159 Ha Noi Highway, District 2, Ho Chi Minh City 700000 Vietnam",12,76,NA,,,Masteri Thao Dien Quan 2,$72,$49,"$49, - ,$72","Which popular attractions are close to Masteri Thao Dien Quan 2?, ,What are some restaurants close to Masteri Thao Dien Quan 2?, ",NA,NA,NA,NA,NA,84,NA,NA,NA,,NA,https://www.tripadvisor.com/Hotel_Review-g293925-d21408362-Reviews-Masteri_Thao_Dien_Quan_2-Ho_Chi_Minh_City.html
"772 Au Co, P 14 Q Tan Binh, Ho Chi Minh City 700000 Vietnam",2,60,18,,,OYO195 Lap Nhu Y Hotel,$13,$12,"$12, - ,$13","Which popular attractions are close to OYO195 Lap Nhu Y Hotel?, ,Is parking available at OYO195 Lap Nhu Y Hotel?, ,What are some restaurants close to OYO195 Lap Nhu Y Hotel?, ",6,NA,NA,NA,NA,19,NA,NA,NA,,6,https://www.tripadvisor.com/Hotel_Review-g293925-d13950424-Reviews-OYO195_Lap_Nhu_Y_Hotel-Ho_Chi_Minh_City.html
NA,NA,NA,NA,,,Hong Nhung Hotel,NA,Vietnam,"Vietnam,Ho Chi Minh City",NA,NA,NA,NA,NA,20,NA,NA,NA,NA,,NA,https://www.tripadvisor.com/Hotel_Review-g293925-d23208421-Reviews-Hong_Nhung_Hotel-Ho_Chi_Minh_City.html
"Hem 182 Le Duc Tho 182/51 Le Duc Tho, Phuong 6, Ho Chi Minh City 700000 Vietnam",NA,NA,NA,,,Khach Sạn Sao Việt,NA,Vietnam,"Vietnam,Ho Chi Minh City","Which popular attractions are close to Khách Sạn Sao Việt?, ,What are some restaurants close to Khách Sạn Sao Việt?, ",NA,NA,NA,NA,NA,NA,NA,NA,NA,,NA,https://www.tripadvisor.com/Hotel_Review-g293925-d23259815-Reviews-Khach_S_n_Sao_Vi_t-Ho_Chi_Minh_City.html
"40E Ngo Duc Ke Entrance In Nguyen Hue Square, District 1, Ho Chi Minh City Vietnam",129,100,NA,,,River Central Residence,NA,Vietnam,"Vietnam,Ho Chi Minh City","Which popular attractions are close to River Central Residence?, ,What are some restaurants close to River Central Residence?, ",NA,NA,NA,NA,NA,550,NA,NA,NA,,NA,https://www.tripadvisor.com/Hotel_Review-g293925-d15852905-Reviews-River_Central_Residence-Ho_Chi_Minh_City.html
"543/25 Nguyen Dinh Chieu Ward 2, District 3, Ho Chi Minh City 700000 Vietnam",11,82,NA,,,Thanh Van Hotel,15,Vietnam,"Vietnam,Ho Chi Minh City,15","Which popular attractions are close to Thanh Van Hotel?, ,What are some of the property amenities at Thanh Van Hotel?, ,Is parking available at Thanh Van Hotel?, ,What are some restaurants close to Thanh Van Hotel?, ,Are there any historical sites close to Thanh Van Hotel?, ",NA,NA,NA,NA,NA,69,NA,15,NA,,NA,https://www.tripadvisor.com/Hotel_Review-g293925-d19041932-Reviews-Thanh_Van_Hotel-Ho_Chi_Minh_City.html
"7 Street 284 Cao Lo District 7 - Phu My Hung / South Saigon, Ho Chi Minh City 70000 Vietnam",NA,NA,NA,,,Thanh Nguyen Hotel 1,12,Vietnam,"Vietnam,Ho Chi Minh City,12","Which popular attractions are close to Thanh Nguyen Hotel 1?, ,What are some of the property amenities at Thanh Nguyen Hotel 1?, ,Which room amenities are available at Thanh Nguyen Hotel 1?, ,What are some restaurants close to Thanh Nguyen Hotel 1?, ,Does Thanh Nguyen Hotel 1 have airport transportation?, ",NA,NA,NA,NA,NA,NA,NA,12,NA,,NA,https://www.tripadvisor.com/Hotel_Review-g293925-d3199404-Reviews-Thanh_Nguyen_Hotel_1-Ho_Chi_Minh_City.html
"625/4 Xo Viet Nghe Tinh - Ward 26, Ho Chi Minh City 70000 Vietnam",8,76,NA,Vietnamese,,Huynh De Hotel,13,Vietnam,"Vietnam,Ho Chi Minh City,13","Which popular attractions are close to Huynh De Hotel?, ,What are some of the property amenities at Huynh De Hotel?, ,Which room amenities are available at Huynh De Hotel?, ,Is parking available at Huynh De Hotel?, ,What are some restaurants close to Huynh De Hotel?, ",NA,NA,NA,NA,NA,48,NA,13,NA,,NA,https://www.tripadvisor.com/Hotel_Review-g293925-d6676060-Reviews-Huynh_De_Hotel-Ho_Chi_Minh_City.html
"319/21 Nguyen Cong Tru Street, District 1, Ho Chi Minh City Vietnam",72,100,NA,,,Nha Nghi 319,NA,Vietnam,"Vietnam,Ho Chi Minh City","Which popular attractions are close to Nha Nghi 319?, ,What are some restaurants close to Nha Nghi 319?, ",NA,NA,NA,NA,NA,372,NA,NA,NA,,NA,https://www.tripadvisor.com/Hotel_Review-g293925-d13846702-Reviews-Nha_Nghi_319-Ho_Chi_Minh_City.html
"253 Hai Ba Trung, District 3, Ho Chi Minh City Vietnam",17,93,NA,,,Triip - Central Park Apartment,NA,Vietnam,"Vietnam,Ho Chi Minh City","Which popular attractions are close to Triip - Central Park Apartment?, ,What are some restaurants close to Triip - Central Park Apartment?, ",NA,NA,NA,NA,NA,143,NA,NA,NA,,NA,https://www.tripadvisor.com/Hotel_Review-g293925-d15666933-Reviews-Triip_Central_Park_Apartment-Ho_Chi_Minh_City.html
"30 Tran Thu Do Street Tan Phu District, Ho Chi Minh City Vietnam",NA,NA,NA,,,Quoc Khanh Hotel,NA,Vietnam,"Vietnam,Ho Chi Minh City","Which popular attractions are close to Quoc Khanh Hotel?, ,What are some of the property amenities at Quoc Khanh Hotel?, ,Is parking available at Quoc Khanh Hotel?, ,What are some restaurants close to Quoc Khanh Hotel?, ",NA,NA,NA,NA,NA,NA,NA,NA,NA,,NA,https://www.tripadvisor.com/Hotel_Review-g293925-d12920825-Reviews-Quoc_Khanh_Hotel-Ho_Chi_Minh_City.html
"121/20 Le Thi Rieng Ben Thanh, District 1, Ho Chi Minh City 700000 Vietnam",76,100,NA,,,F-home,NA,Vietnam,"Vietnam,Ho Chi Minh City","Which popular attractions are close to F-home?, ,What are some restaurants close to F-home?, ",NA,NA,NA,NA,NA,399,NA,NA,NA,,NA,https://www.tripadvisor.com/Hotel_Review-g293925-d15132552-Reviews-F_home-Ho_Chi_Minh_City.html
"30/12 Calmette, Ho Chi Minh City 70000 Vietnam",64,99,NA,,,The Calmette 1950S,NA,Vietnam,"Vietnam,Ho Chi Minh City","Which popular attractions are close to The Calmette 1950S?, ,What are some restaurants close to The Calmette 1950S?, ",NA,NA,NA,NA,NA,297,NA,NA,NA,,NA,https://www.tripadvisor.com/Hotel_Review-g293925-d16829944-Reviews-The_Calmette_1950S-Ho_Chi_Minh_City.html
NA,NA,NA,NA,,,Bee 2 Hotel,NA,Vietnam,"Vietnam,Ho Chi Minh City",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,,NA,https://www.tripadvisor.com/Hotel_Review-g293925-d21510718-Reviews-Bee_2_Hotel-Ho_Chi_Minh_City.html
NA,NA,NA,NA,,,Phuong Thanh Hotel,15,Vietnam,"Vietnam,Ho Chi Minh City,15",NA,NA,NA,NA,NA,NA,NA,NA,15,NA,,NA,https://www.tripadvisor.com/Hotel_Review-g293925-d20893396-Reviews-Phuong_Thanh_Hotel-Ho_Chi_Minh_City.html
NA,NA,NA,NA,,,Ngoc Anh Hotel,NA,Vietnam,"Vietnam,Ho Chi Minh City",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,,NA,https://www.tripadvisor.com/Hotel_Review-g293925-d23516745-Reviews-Ngoc_Anh_Hotel-Ho_Chi_Minh_City.html
"91 Suong Nguyet Anh Ben Thanh Ward, District 1, Ho Chi Minh City 700000 Vietnam",47,97,NA,,,Cozrum Smart - First Target Hotel,NA,Vietnam,"Vietnam,Ho Chi Minh City","Which popular attractions are close to Cozrum Smart - First Target Hotel?, ,What are some restaurants close to Cozrum Smart - First Target Hotel?, ",NA,NA,NA,NA,NA,262,NA,NA,NA,,NA,https://www.tripadvisor.com/Hotel_Review-g293925-d23259664-Reviews-Cozrum_Smart_First_Target_Hotel-Ho_Chi_Minh_City.html
"39 Ben Van Don, District 4, Ho Chi Minh City 1309 Vietnam",26,97,NA,,,Tresor Apartment - Free Gym & Pool,NA,Vietnam,"Vietnam,Ho Chi Minh City","Which popular attractions are close to Tresor Apartment - Free Gym & Pool?, ,What are some restaurants close to Tresor Apartment - Free Gym & Pool?, ",NA,NA,NA,NA,NA,139,NA,NA,NA,,NA,https://www.tripadvisor.com/Hotel_Review-g293925-d21391563-Reviews-Tresor_Apartment_Free_Gym_Pool-Ho_Chi_Minh_City.html
"12 Tr_n Thi_n Chanh, Ho Chi Minh City Vietnam",2,68,NA,,,Khach San Ngoc Linh,NA,Vietnam,"Vietnam,Ho Chi Minh City","Which popular attractions are close to Khach San Ngoc Linh?, ,What are some restaurants close to Khach San Ngoc Linh?, ",NA,NA,NA,NA,NA,34,NA,NA,NA,,NA,https://www.tripadvisor.com/Hotel_Review-g293925-d23423203-Reviews-Khach_San_Ngoc_Linh-Ho_Chi_Minh_City.html
NA,NA,NA,NA,,,Mona Land Apartment,NA,Vietnam,"Vietnam,Ho Chi Minh City",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,,NA,https://www.tripadvisor.com/Hotel_Review-g293925-d21047573-Reviews-Mona_Land_Apartment-Ho_Chi_Minh_City.html
"101 Bung Ong Thoan Khu Park Riverside, Ho Chi Minh City Vietnam",NA,NA,NA,,,UHome at Saigon,NA,Vietnam,"Vietnam,Ho Chi Minh City","Which popular attractions are close to UHome at Saigon?, ,What are some restaurants close to UHome at Saigon?, ",NA,1,"#282 of 1,547 B&Bs / Inns in Ho Chi Minh City",50,NA,NA,Excellent,NA,NA,,NA,https://www.tripadvisor.com/Hotel_Review-g293925-d21253346-Reviews-UHome_at_Saigon-Ho_Chi_Minh_City.html
"3 Cong Hoa, Ward 4, Tan Binh District, Ho Chi Minh City 840000 Vietnam",2,62,NA,,,G8 Airport Hotel,NA,Vietnam,"Vietnam,Ho Chi Minh City","Which popular attractions are close to G8 Airport Hotel?, ,What are some restaurants close to G8 Airport Hotel?, ",NA,NA,NA,NA,NA,22,NA,NA,NA,,NA,https://www.tripadvisor.com/Hotel_Review-g293925-d23207958-Reviews-G8_Airport_Hotel-Ho_Chi_Minh_City.html
"156 -158, Bau Cat Street, Ward 14, Ho Chi Minh City Vietnam",4,50,NA,,,Bang An Hotel,NA,Vietnam,"Vietnam,Ho Chi Minh City","Which popular attractions are close to Bang An Hotel?, ,What are some restaurants close to Bang An Hotel?, ",NA,NA,NA,NA,NA,61,NA,NA,NA,,NA,https://www.tripadvisor.com/Hotel_Review-g293925-d21047545-Reviews-Bang_An_Hotel-Ho_Chi_Minh_City.html
"23/49 Dinh Tien Hoang, 3rd Floor Binh Thanh District, Ho Chi Minh City Vietnam",22,92,NA,,,Warmy Saigon House,NA,Vietnam,"Vietnam,Ho Chi Minh City","Which popular attractions are close to Warmy Saigon House?, ,Which room amenities are available at Warmy Saigon House?, ,What are some restaurants close to Warmy Saigon House?, ",NA,NA,NA,NA,NA,196,NA,NA,NA,,NA,https://www.tripadvisor.com/Hotel_Review-g293925-d12611883-Reviews-Warmy_Saigon_House-Ho_Chi_Minh_City.html
NA,NA,NA,NA,,,Thanh Ngoc Hotel,NA,Vietnam,"Vietnam,Ho Chi Minh City",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,,NA,https://www.tripadvisor.com/Hotel_Review-g293925-d21047591-Reviews-Thanh_Ngoc_Hotel-Ho_Chi_Minh_City.html
"R1-72 Hung Phuoc 1, Ho Chi Minh City 70000 Vietnam",2,66,NA,,,Green Hotel - District 07,20,Vietnam,"Vietnam,Ho Chi Minh City,20","Which popular attractions are close to Green Hotel - District 07?, ,What are some of the property amenities at Green Hotel - District 07?, ,What food & drink options are available at Green Hotel - District 07?, ,What are some restaurants close to Green Hotel - District 07?, ",NA,NA,NA,NA,NA,59,NA,20,NA,,NA,https://www.tripadvisor.com/Hotel_Review-g293925-d3510951-Reviews-Green_Hotel_District_07-Ho_Chi_Minh_City.html
"121 Pham Phu Thu Street, Ho Chi Minh City 70000 Vietnam",662,38,NA,,,Thuong Gia Cho Lon Hotel,23,Vietnam,"Vietnam,Ho Chi Minh City,23","Which popular attractions are close to Thuong Gia Cho Lon Hotel?, ,What are some restaurants close to Thuong Gia Cho Lon Hotel?, ",NA,NA,NA,NA,NA,4134,NA,23,NA,,NA,https://www.tripadvisor.com/Hotel_Review-g293925-d6930235-Reviews-Thuong_Gia_Cho_Lon_Hotel-Ho_Chi_Minh_City.html
NA,NA,NA,NA,,,Aparthotel District 7-Smarthomegroup,NA,Vietnam,"Vietnam,Ho Chi Minh City",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,,NA,https://www.tripadvisor.com/Hotel_Review-g293925-d21177289-Reviews-Aparthotel_District_7_Smarthomegroup-Ho_Chi_Minh_City.html
"48/36 Tran Dinh Xu 48/36, Ho Chi Minh City Vietnam",12,80,NA,,,"48/36 Tran Dinh xu, quan 1",NA,Vietnam,"Vietnam,Ho Chi Minh City","Which popular attractions are close to 48/36 Tran Dinh xu, quan 1?, ,What are some restaurants close to 48/36 Tran Dinh xu, quan 1?, ",NA,NA,NA,NA,NA,69,NA,NA,NA,,NA,https://www.tripadvisor.com/Hotel_Review-g293925-d23183189-Reviews-48_36_Tran_Dinh_xu_quan_1-Ho_Chi_Minh_City.html
NA,NA,NA,NA,,,Win Hotel,NA,Vietnam,"Vietnam,Ho Chi Minh City",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,,NA,https://www.tripadvisor.com/Hotel_Review-g293925-d22089793-Reviews-Win_Hotel-Ho_Chi_Minh_City.html
NA,NA,NA,NA,,,Trang's Apartment,2,Vietnam,"Vietnam,Ho Chi Minh City,2",NA,NA,NA,NA,NA,NA,NA,NA,2,NA,,NA,https://www.tripadvisor.com/Hotel_Review-g293925-d22954141-Reviews-Trang_s_Apartment-Ho_Chi_Minh_City.html
NA,NA,NA,NA,,,Lucyhome Masteri Thao Dien Apartment,23,Vietnam,"Vietnam,Ho Chi Minh City,23",NA,NA,NA,NA,NA,NA,NA,NA,23,NA,,NA,https://www.tripadvisor.com/Hotel_Review-g293925-d22953842-Reviews-Lucyhome_Masteri_Thao_Dien_Apartment-Ho_Chi_Minh_City.html
"266 Nguyen Xi Street, Ward 13 Binh Thanh, Ho Chi Minh City Vietnam",NA,NA,NA,,,RedDoorz Plus Near Mien Dong Bus Station,NA,Vietnam,"Vietnam,Ho Chi Minh City","Which popular attractions are close to RedDoorz Plus Near Mien Dong Bus Station?, ,What are some restaurants close to RedDoorz Plus Near Mien Dong Bus Station?, ",NA,NA,NA,NA,NA,NA,NA,NA,NA,,NA,https://www.tripadvisor.com/Hotel_Review-g293925-d20920238-Reviews-RedDoorz_Plus_Near_Mien_Dong_Bus_Station-Ho_Chi_Minh_City.html
"173 Ta Uyen, Ho Chi Minh City Vietnam",21,62,NA,,,Thanh Hoa Kieu,NA,Vietnam,"Vietnam,Ho Chi Minh City","Which popular attractions are close to Thanh Hoa Kieu?, ,What are some restaurants close to Thanh Hoa Kieu?, ",NA,NA,NA,NA,NA,57,NA,NA,NA,,NA,https://www.tripadvisor.com/Hotel_Review-g293925-d14826860-Reviews-Thanh_Hoa_Kieu-Ho_Chi_Minh_City.html
"11/70 Ho Dac Di, Tay Thanh, Ho Chi Minh City 70000 Vietnam",NA,NA,NA,,,Reddoorz Plus near Big C Truong Chinh,NA,Vietnam,"Vietnam,Ho Chi Minh City","Which popular attractions are close to Reddoorz Plus near Big C Truong Chinh?, ,What are some restaurants close to Reddoorz Plus near Big C Truong Chinh?, ",NA,NA,NA,NA,NA,NA,NA,NA,NA,,NA,https://www.tripadvisor.com/Hotel_Review-g293925-d21287185-Reviews-Reddoorz_Plus_near_Big_C_Truong_Chinh-Ho_Chi_Minh_City.html
"22 Duong So 6B, Ho Chi Minh City Vietnam",NA,NA,NA,,,Enjoy Hotel 6B,$30,$18,"$18, - ,$30","Which popular attractions are close to Enjoy Hotel 6B?, ,What are some restaurants close to Enjoy Hotel 6B?, ",NA,NA,NA,NA,NA,NA,NA,NA,NA,,NA,https://www.tripadvisor.com/Hotel_Review-g293925-d21410654-Reviews-Enjoy_Hotel_6B-Ho_Chi_Minh_City.html
NA,NA,NA,NA,,,OYO 229 Golden A Hotel,10,Vietnam,"Vietnam,Ho Chi Minh City,10",NA,NA,NA,NA,NA,NA,NA,NA,10,NA,,NA,https://www.tripadvisor.com/Hotel_Review-g293925-d21513492-Reviews-OYO_229_Golden_A_Hotel-Ho_Chi_Minh_City.html
"704 Dien Bien Phu, Ho Chi Minh City 70000 Vietnam",4,70,NA,"English, French",,Minh Huy Hotel,17,Vietnam,"Vietnam,Ho Chi Minh City,17","Which popular attractions are close to Minh Huy Hotel?, ,Which room amenities are available at Minh Huy Hotel?, ,What are some restaurants close to Minh Huy Hotel?, ,Which languages are spoken by the staff at Minh Huy Hotel?, ",NA,NA,NA,NA,NA,29,NA,17,NA,,NA,https://www.tripadvisor.com/Hotel_Review-g293925-d7728486-Reviews-Minh_Huy_Hotel-Ho_Chi_Minh_City.html
"113/46 Vo Duy Ninh, Phuong 22, Quan Binh Thanh, Ho Chi Minh City Vietnam",4,67,NA,,,Hoang Kim House,NA,Vietnam,"Vietnam,Ho Chi Minh City","Which popular attractions are close to Hoang Kim House?, ,What are some restaurants close to Hoang Kim House?, ",NA,NA,NA,NA,NA,35,NA,NA,NA,,NA,https://www.tripadvisor.com/Hotel_Review-g293925-d23365268-Reviews-Hoang_Kim_House-Ho_Chi_Minh_City.html
NA,NA,NA,NA,,,RedDoorz Near Mega Market Hiep Phu,NA,Vietnam,"Vietnam,Ho Chi Minh City",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,,NA,https://www.tripadvisor.com/Hotel_Review-g293925-d21410601-Reviews-RedDoorz_Near_Mega_Market_Hiep_Phu-Ho_Chi_Minh_City.html
"420 Nguyen Thi Thap District 7, Ho Chi Minh City 70000 Vietnam",7,47,NA,,,Lam Hung Hotel,19,Vietnam,"Vietnam,Ho Chi Minh City,19","Which popular attractions are close to Lam Hung Hotel?, ,What are some restaurants close to Lam Hung Hotel?, ",NA,NA,NA,NA,NA,102,NA,19,NA,,NA,https://www.tripadvisor.com/Hotel_Review-g293925-d7625685-Reviews-Lam_Hung_Hotel-Ho_Chi_Minh_City.html
NA,NA,NA,NA,,,A Piece of Old Saigon Inn,NA,Vietnam,"Vietnam,Ho Chi Minh City",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,,NA,https://www.tripadvisor.com/Hotel_Review-g293925-d21050568-Reviews-A_Piece_of_Old_Saigon_Inn-Ho_Chi_Minh_City.html
"1025 Duong Tran Hung Dao, Ho Chi Minh City Vietnam",4,71,NA,,,Hanh Long Hotel,NA,Vietnam,"Vietnam,Ho Chi Minh City","Which popular attractions are close to Hanh Long Hotel?, ,What are some restaurants close to Hanh Long Hotel?, ",NA,NA,NA,NA,NA,28,NA,NA,NA,,NA,https://www.tripadvisor.com/Hotel_Review-g293925-d21126206-Reviews-Hanh_Long_Hotel-Ho_Chi_Minh_City.html
"836 Quang Trung Ward 8, Ho Chi Minh City 70000 Vietnam",NA,NA,NA,,,Khach San Dai An,NA,Vietnam,"Vietnam,Ho Chi Minh City","Which popular attractions are close to Khach San Dai An?, ,What are some restaurants close to Khach San Dai An?, ",NA,NA,NA,NA,NA,NA,NA,NA,NA,,NA,https://www.tripadvisor.com/Hotel_Review-g293925-d21280476-Reviews-Khach_San_Dai_An-Ho_Chi_Minh_City.html
NA,NA,NA,NA,,,Karta Riverview Apartment,NA,Vietnam,"Vietnam,Ho Chi Minh City",NA,NA,NA,NA,NA,30,NA,NA,NA,NA,,NA,https://www.tripadvisor.com/Hotel_Review-g293925-d21050396-Reviews-Karta_Riverview_Apartment-Ho_Chi_Minh_City.html
NA,NA,NA,NA,,,Alley 71,NA,Vietnam,"Vietnam,Ho Chi Minh City",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,,NA,https://www.tripadvisor.com/Hotel_Review-g293925-d19764456-Reviews-Alley_71-Ho_Chi_Minh_City.html
NA,NA,NA,NA,,,Lucky Star 2 Homestay,NA,Vietnam,"Vietnam,Ho Chi Minh City",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,,NA,https://www.tripadvisor.com/Hotel_Review-g293925-d20481148-Reviews-Lucky_Star_2_Homestay-Ho_Chi_Minh_City.html
"39 Ben Van Don 20.08, Ho Chi Minh City Vietnam",20,95,NA,,,The Tresor Hotel Residence - Melody Apartment,NA,Vietnam,"Vietnam,Ho Chi Minh City","Which popular attractions are close to The Tresor Hotel Residence - Melody Apartment?, ,What are some restaurants close to The Tresor Hotel Residence - Melody Apartment?, ",NA,NA,NA,NA,NA,104,NA,NA,NA,,NA,https://www.tripadvisor.com/Hotel_Review-g293925-d21181188-Reviews-The_Tresor_Hotel_Residence_Melody_Apartment-Ho_Chi_Minh_City.html
"Le L_i, 138B, Ho Chi Minh City 00084 Vietnam",NA,NA,NA,,,RedDoorz near Gia Dinh Park,NA,Vietnam,"Vietnam,Ho Chi Minh City","Which popular attractions are close to RedDoorz near Gia Dinh Park?, ,What are some restaurants close to RedDoorz near Gia Dinh Park?, ",NA,NA,NA,NA,NA,NA,NA,NA,NA,,NA,https://www.tripadvisor.com/Hotel_Review-g293925-d23341359-Reviews-RedDoorz_near_Gia_Dinh_Park-Ho_Chi_Minh_City.html
"38 Du_ng S_ 6, Ho Chi Minh City 70000 Vietnam",NA,NA,NA,,,Hung Phat Hotel,20,Vietnam,"Vietnam,Ho Chi Minh City,20","Which popular attractions are close to Hung Phat Hotel?, ,What are some restaurants close to Hung Phat Hotel?, ",NA,NA,NA,NA,10,NA,NA,20,NA,,NA,https://www.tripadvisor.com/Hotel_Review-g293925-d21513386-Reviews-Hung_Phat_Hotel-Ho_Chi_Minh_City.html
"65/4 Thu Khoa Huan Ben Thanh, Ho Chi Minh City Vietnam",103,100,NA,,,Homestay Bkin,NA,Vietnam,"Vietnam,Ho Chi Minh City","Which popular attractions are close to Homestay Bkin?, ,What are some restaurants close to Homestay Bkin?, ",NA,NA,NA,NA,NA,372,NA,NA,NA,,NA,https://www.tripadvisor.com/Hotel_Review-g293925-d13948597-Reviews-Homestay_Bkin-Ho_Chi_Minh_City.html
"36B Kinh Duong Vuong, Ward 13, Ho Chi Minh City Vietnam",NA,NA,NA,,,Gia Bao Hotel,NA,Vietnam,"Vietnam,Ho Chi Minh City","What are some restaurants close to Gia Bao Hotel?, ",NA,NA,NA,NA,NA,NA,NA,NA,NA,,NA,https://www.tripadvisor.com/Hotel_Review-g293925-d23207188-Reviews-Gia_Bao_Hotel-Ho_Chi_Minh_City.html
NA,NA,NA,NA,,,Ao Homestay - Millennium,NA,Vietnam,"Vietnam,Ho Chi Minh City",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,,NA,https://www.tripadvisor.com/Hotel_Review-g293925-d21303960-Reviews-Ao_Homestay_Millennium-Ho_Chi_Minh_City.html
"No. 817 - 819 Le Hong Phong Street, Ward 12, Ho Chi Minh City 700000 Vietnam",4,71,NA,,,RedDoorz @ Le Hong Phong Street,NA,Vietnam,"Vietnam,Ho Chi Minh City","Which popular attractions are close to RedDoorz @ Le Hong Phong Street?, ,What are some restaurants close to RedDoorz @ Le Hong Phong Street?, ",NA,NA,NA,NA,NA,33,NA,NA,NA,,NA,https://www.tripadvisor.com/Hotel_Review-g293925-d21304175-Reviews-RedDoorz_Le_Hong_Phong_Street-Ho_Chi_Minh_City.html
"Hem 18 Bis Nguyen Thi Minh Khai 18Bis/30b Nguyen Thi Minh Khai Dakao Quan 1, Ho Chi Minh City Vietnam",21,100,NA,,,Plastic Homestay,NA,Vietnam,"Vietnam,Ho Chi Minh City","Which popular attractions are close to Plastic Homestay?, ,What are some restaurants close to Plastic Homestay?, ",NA,NA,NA,NA,NA,204,NA,NA,NA,,NA,https://www.tripadvisor.com/Hotel_Review-g293925-d21303921-Reviews-Plastic_Homestay-Ho_Chi_Minh_City.html
NA,NA,NA,NA,,,Hotel Gia Huyen,NA,Vietnam,"Vietnam,Ho Chi Minh City",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,,NA,https://www.tripadvisor.com/Hotel_Review-g293925-d19863689-Reviews-Hotel_Gia_Huyen-Ho_Chi_Minh_City.html
NA,NA,NA,NA,,,Tammy Hotel,NA,Vietnam,"Vietnam,Ho Chi Minh City",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,,NA,https://www.tripadvisor.com/Hotel_Review-g293925-d23207141-Reviews-Tammy_Hotel-Ho_Chi_Minh_City.html
"So 10 Duong 9A, Ho Chi Minh City Vietnam",11,51,NA,,,Khach San Thanh Hien,NA,Vietnam,"Vietnam,Ho Chi Minh City","Which popular attractions are close to Khach San Thanh Hien?, ,What are some restaurants close to Khach San Thanh Hien?, ",NA,NA,NA,NA,NA,79,NA,NA,NA,,NA,https://www.tripadvisor.com/Hotel_Review-g293925-d17703271-Reviews-Khach_San_Thanh_Hien-Ho_Chi_Minh_City.html
